Column1,TIME;,WEAR;,FF;,TEMP
,141.0470;,-154.16;,5.55;,1332.69
,142.0260;,-153.48;,5.32;,1332.73
,143.0060;,-152.81;,5.24;,1332.61
,143.9880;,-152.88;,5.22;,1332.87
,144.9680;,-152.92;,5.21;,1332.94
,145.9490;,-152.98;,5.22;,1332.97
,146.9270;,-153.23;,5.32;,1332.59
,148.3420;,-152.13;,5.23;,1332.43
,149.3230;,-152.57;,5.25;,1332.67
,150.3030;,-152.56;,5.33;,1332.58
,151.5010;,-152.94;,5.50;,1332.38
,152.4840;,-152.04;,5.41;,1332.17
,153.4610;,-151.92;,5.24;,1332.16
,154.4440;,-152.61;,5.24;,1332.37
,155.7490;,-151.84;,5.20;,1332.72
,156.7290;,-151.53;,5.20;,1332.78
,157.7090;,-151.19;,5.12;,1332.85
,159.0170;,-151.21;,5.55;,1332.95
,159.9980;,-150.40;,4.92;,1333.18
,160.9770;,-150.96;,5.04;,1333.06
,161.9570;,-151.47;,5.14;,1332.85
,163.2660;,-151.16;,5.12;,1332.82
,164.2450;,-151.51;,5.19;,1332.62
,165.2250;,-151.64;,5.19;,1332.96
,166.7490;,-152.86;,5.25;,1333.06
,167.7300;,-151.87;,5.22;,1332.76
,168.7100;,-151.09;,5.18;,1332.71
,169.6900;,-150.65;,5.11;,1332.91
,170.6720;,-151.38;,5.18;,1333.08
,171.6510;,-151.58;,5.12;,1333.04
,172.6310;,-151.91;,5.46;,1333.14
,174.4830;,-153.14;,5.39;,1333.12
,175.4630;,-152.69;,5.42;,1332.79
,176.4450;,-152.73;,5.88;,1333
,178.0780;,-151.66;,5.86;,1332.78
,179.0570;,-151.98;,5.12;,1332.51
,180.0370;,-152.27;,5.53;,1332.65
,181.0190;,-152.71;,6.03;,1332.54
,181.9990;,-152.51;,6.25;,1332.81
,182.9800;,-152.64;,6.34;,1333.28
,183.9580;,-152.72;,6.36;,1333.65
,185.1560;,-152.35;,6.42;,1333.73
,186.1360;,-152.56;,6.52;,1333.92
,187.1170;,-152.09;,6.61;,1334.05
,188.0970;,-151.92;,4.79;,1333.98
,189.0770;,-152.83;,4.98;,1333.83
,190.0570;,-151.44;,5.73;,1333.78
,191.0370;,-151.41;,6.39;,1333.48
,192.0180;,-152.12;,6.48;,1333.72
,192.9990;,-151.53;,6.51;,1333.8
,193.9780;,-152.21;,6.54;,1333.51
,194.9580;,-153.00;,6.52;,1333.33
,196.1560;,-151.71;,6.58;,1333.43
,197.1360;,-152.39;,6.53;,1333.06
,198.1170;,-151.52;,6.56;,1333.24
