Column1,TIME;,WEAR;,FF;,TEMP
,0.9790;,-84.44;,0.74;,1332.9
,2.3950;,-140.21;,1.90;,1332.64
,3.3750;,-206.86;,3.57;,1332.41
,4.3550;,-255.88;,4.42;,1332.75
,5.3350;,-301.21;,4.58;,1332.82
,6.3180;,-329.76;,4.58;,1332.91
,7.2960;,-395.72;,4.58;,1332.83
,8.2770;,-428.98;,4.55;,1332.84
,9.3660;,-435.82;,4.50;,1332.55
,10.3460;,-435.59;,4.53;,1332.78
,11.3260;,-434.46;,4.53;,1332.78
,12.3080;,-434.89;,4.62;,1332.84
,13.6130;,-433.68;,4.61;,1332.95
,14.5930;,-436.88;,4.68;,1333.17
,15.5760;,-433.56;,4.75;,1333.31
,16.6640;,-434.28;,4.66;,1333.19
,17.6450;,-434.07;,4.60;,1333.08
,18.6250;,-432.67;,4.61;,1333.06
,19.6060;,-433.67;,4.58;,1332.88
,21.1300;,-438.68;,4.62;,1332.67
,22.1090;,-433.42;,5.32;,1332.29
,23.0910;,-431.71;,6.19;,1332.38
,24.6140;,-428.17;,6.08;,1331.89
,25.5940;,-429.00;,4.88;,1331.66
,26.5750;,-425.62;,5.78;,1331.61
,27.5540;,-425.65;,6.97;,1331.82
,28.5360;,-423.02;,7.35;,1331.93
,29.5150;,-423.00;,7.76;,1331.85
,30.4950;,-424.07;,7.32;,1332.03
,32.0200;,-424.16;,4.87;,1332.25
,33.0000;,-427.11;,5.17;,1332.51
,33.9810;,-428.87;,5.09;,1332.36
,34.9600;,-431.64;,5.25;,1332.47
,36.0520;,-433.57;,5.28;,1332.53
,37.0310;,-431.85;,5.10;,1332.7
,38.0120;,-431.13;,5.21;,1332.86
,39.6440;,-425.82;,5.34;,1332.83
,40.6240;,-431.82;,5.29;,1332.95
,41.6070;,-437.08;,5.43;,1333.06
,42.6960;,-434.14;,5.38;,1332.91
,43.6760;,-437.65;,5.39;,1332.73
,44.6550;,-436.26;,5.45;,1332.66
,45.6350;,-431.28;,5.78;,1332.76
,46.9420;,-427.41;,6.21;,1332.55
,47.9220;,-428.77;,7.20;,1332.71
,48.9020;,-428.82;,7.60;,1333.18
,49.8820;,-423.91;,7.79;,1333.35
,50.8650;,-425.50;,7.93;,1333.09
,51.8430;,-420.88;,8.20;,1333.39
,52.8230;,-417.03;,8.62;,1333.32
,53.8050;,-417.20;,8.84;,1333.25
,54.7860;,-418.53;,8.86;,1333.44
,55.7660;,-418.03;,8.97;,1333.14
,56.7440;,-418.52;,9.09;,1332.75
,57.7260;,-419.53;,9.11;,1332.45
,58.7060;,-420.74;,9.07;,1332.14
,59.6850;,-419.72;,8.71;,1332.34
,60.6640;,-420.45;,8.42;,1332.68
,61.9720;,-420.12;,5.89;,1332.75
,62.9520;,-424.11;,4.94;,1332.81
,63.9340;,-421.84;,5.91;,1332.76
,65.5680;,-418.14;,7.25;,1332.78
,66.5460;,-420.59;,7.90;,1333.05
,67.5290;,-420.74;,7.93;,1333.02
