Column1,TIME;,WEAR;,FF;,TEMP
,1.1980;,0.17;,0.29;,1332.66
,2.1780;,0.71;,1.92;,1333.09
,3.1590;,5.08;,3.40;,1333.66
,4.2490;,8.59;,4.47;,1333.41
,5.2300;,9.41;,4.55;,1333.52
,6.2100;,11.90;,4.76;,1333.38
,7.1890;,17.01;,4.52;,1333.51
,8.1680;,21.22;,4.28;,1333.38
,9.1510;,20.31;,4.11;,1333.15
,10.1290;,19.10;,4.08;,1333.3
,11.1100;,20.63;,3.99;,1333.08
,12.3080;,19.08;,3.99;,1333.08
,13.2880;,20.60;,3.83;,1332.79
,14.2700;,17.82;,3.86;,1332.93
,15.3590;,20.28;,3.83;,1333.34
,16.3390;,21.44;,3.82;,1333.46
,17.3180;,20.26;,3.74;,1333.47
,18.2980;,18.82;,3.82;,1333.07
,19.8230;,21.16;,3.66;,1333.09
,20.8030;,18.76;,3.69;,1332.96
,21.7830;,20.31;,3.57;,1332.64
,23.4180;,17.01;,3.63;,1332.54
,24.3970;,19.34;,3.53;,1332.48
,25.3790;,18.14;,3.59;,1332.3
,27.1200;,17.31;,3.67;,1332.55
,28.1000;,17.76;,3.59;,1332.91
,29.0800;,15.79;,3.65;,1333.27
,30.1710;,18.11;,3.60;,1333.37
,31.1520;,19.58;,3.57;,1333.42
,32.1290;,16.64;,3.57;,1333.18
,33.1100;,15.97;,3.68;,1332.67
,34.0900;,17.58;,3.62;,1332.27
,35.0730;,18.55;,3.56;,1332.43
,36.0510;,14.70;,3.64;,1332.29
,37.0310;,16.44;,3.78;,1332.35
,38.3400;,17.59;,4.10;,1332.49
,39.3190;,25.91;,5.37;,1332.57
,40.3000;,29.98;,6.54;,1332.32
,41.3880;,34.86;,7.31;,1332.24
,42.3700;,39.46;,7.81;,1332.05
,43.3480;,48.39;,8.05;,1332.23
,44.3290;,49.25;,8.02;,1332.2
,45.4170;,51.83;,7.84;,1332.17
,46.3980;,48.83;,7.31;,1332.28
,47.3770;,50.77;,7.08;,1332.79
,48.3600;,46.75;,7.18;,1332.9
,49.3380;,45.20;,7.34;,1332.93
,50.3190;,46.15;,7.88;,1333.02
