Column1,TIME;,WEAR;,FF;,TEMP
,0.9810;,-18.52;,0.74;,1333.95
,2.0710;,-45.76;,1.57;,1333.94
,3.0500;,-102.11;,3.39;,1333.81
,4.0300;,-153.23;,4.47;,1333.84
,5.6640;,-207.32;,5.04;,1333.94
,6.6450;,-276.67;,5.18;,1333.97
,7.6240;,-323.01;,5.32;,1333.65
,8.6050;,-333.08;,5.35;,1333.57
,9.5850;,-332.22;,5.33;,1333.42
,10.5660;,-333.27;,5.23;,1333.22
,11.5460;,-335.14;,5.46;,1333.34
,12.5260;,-331.90;,5.48;,1333.56
,13.5080;,-330.03;,5.50;,1333.67
,14.4880;,-334.66;,5.44;,1333.62
,15.4690;,-333.77;,5.57;,1333.65
,17.1010;,-344.08;,5.26;,1333.83
,18.0810;,-349.38;,5.39;,1333.44
,19.0620;,-346.31;,5.28;,1333.36
,20.3680;,-347.47;,5.26;,1333.51
,21.3490;,-341.43;,5.29;,1333.39
,22.3280;,-345.40;,5.30;,1333.59
,23.3090;,-326.28;,5.23;,1333.14
,24.3990;,-329.35;,5.45;,1333.2
,25.3780;,-330.34;,5.85;,1333.47
,26.3580;,-327.76;,6.31;,1333.41
,27.3410;,-326.94;,6.02;,1333.74
,28.3190;,-327.03;,5.57;,1333.47
,29.3010;,-327.18;,5.49;,1333.23
,30.2810;,-323.49;,6.36;,1333.31
,31.2620;,-320.35;,7.35;,1333.08
,32.2400;,-321.78;,7.91;,1332.79
,33.2220;,-318.05;,8.56;,1333.03
,34.2000;,-316.21;,8.95;,1333.19
,35.7260;,-317.25;,9.21;,1332.88
,36.7070;,-314.44;,9.72;,1332.82
,37.6880;,-311.07;,9.88;,1333.08
,39.2110;,-308.43;,9.93;,1332.91
,40.1910;,-308.01;,10.05;,1333.19
,41.1730;,-307.65;,9.77;,1333.33
,42.2620;,-309.30;,9.36;,1333.38
,43.2420;,-312.84;,9.11;,1333.1
,44.2230;,-311.25;,8.97;,1332.64
,45.2010;,-312.15;,9.13;,1332.8
,46.3990;,-314.05;,9.42;,1333.36
,47.3790;,-314.22;,9.86;,1333.35
,48.3590;,-311.99;,10.19;,1333.19
,49.3400;,-307.89;,10.40;,1333.02
,50.4310;,-310.88;,10.42;,1332.96
,51.4090;,-308.54;,10.00;,1332.73
,52.3910;,-310.58;,9.39;,1332.43
,53.3710;,-313.36;,8.86;,1332.29
,54.3520;,-314.89;,8.55;,1332.55
,55.3300;,-317.76;,8.43;,1332.61
,56.3120;,-321.65;,8.42;,1332.77
,57.7280;,-315.01;,8.33;,1332.82
,58.7060;,-316.72;,8.29;,1332.89
,59.6870;,-317.16;,8.28;,1333.13
,60.6660;,-320.86;,8.31;,1333.15
,61.6490;,-320.20;,8.38;,1333.47
,62.6290;,-318.15;,8.47;,1334.1
,63.6090;,-318.44;,8.50;,1333.84
,65.0240;,-315.78;,8.39;,1333.47
,66.0030;,-317.31;,8.37;,1333.23
,66.9830;,-316.84;,8.37;,1333.58
,67.9640;,-318.36;,8.30;,1333.48
,68.9440;,-317.38;,8.33;,1333.59
,69.9240;,-313.20;,8.29;,1333.52
,70.9060;,-313.06;,8.28;,1333.7
,72.5400;,-309.44;,8.20;,1333.19
,73.5190;,-311.34;,8.26;,1332.68
,74.4990;,-313.51;,8.25;,1332.6
,75.4810;,-313.47;,8.33;,1332.67
,76.4610;,-313.63;,8.41;,1332.76
,77.4410;,-312.22;,8.46;,1332.8
,78.4200;,-311.46;,8.43;,1332.46
,79.7270;,-313.31;,8.37;,1332.71
,80.7070;,-312.89;,8.52;,1333.24
,81.6880;,-310.32;,8.59;,1333.18
,82.6670;,-310.86;,8.50;,1333.46
