Column1,TIME;,WEAR;,FF;,TEMP
,0.9790;,16.19;,0.80;,1332.97
,1.9590;,51.00;,1.99;,1332.93
,3.5920;,88.17;,3.21;,1332.91
,4.5730;,141.17;,4.39;,1332.82
,5.5550;,178.28;,4.74;,1333.17
,7.2950;,219.13;,5.05;,1333.01
,8.2760;,244.57;,5.46;,1332.75
,9.2580;,247.41;,5.70;,1333.12
,10.3470;,247.55;,5.92;,1333.22
,11.3260;,247.76;,6.08;,1333.07
,12.3060;,247.49;,6.21;,1332.87
,13.2870;,246.98;,6.25;,1332.88
,14.5930;,246.97;,6.29;,1332.88
,15.5730;,246.67;,6.39;,1332.84
,16.5550;,246.56;,6.56;,1332.88
,17.9690;,246.62;,6.73;,1333.39
,18.9500;,245.83;,6.76;,1333.45
,19.9290;,245.82;,6.91;,1332.9
,20.9100;,245.81;,7.06;,1332.88
,21.8900;,245.07;,7.23;,1332.94
,22.8700;,245.07;,7.50;,1332.54
,23.8520;,244.94;,7.74;,1332.42
,25.0480;,245.09;,7.98;,1332.49
,26.0290;,245.46;,8.12;,1332.67
,27.0100;,245.34;,8.15;,1332.7
,27.9890;,244.96;,8.18;,1332.4
,29.4070;,245.20;,8.26;,1332.35
,30.3850;,246.79;,8.54;,1332.44
,31.3670;,247.61;,8.76;,1332.38
,32.8900;,248.54;,9.05;,1332.73
,33.8700;,248.57;,9.21;,1333.12
,34.8520;,248.31;,9.27;,1333.25
,36.4840;,248.01;,9.16;,1332.75
,37.4640;,246.43;,9.03;,1332.63
,38.4440;,247.34;,9.07;,1332.56
,39.4240;,249.78;,9.31;,1333.08
,40.4070;,252.69;,9.53;,1333.2
,41.3840;,262.17;,10.13;,1333.45
,42.3670;,270.15;,10.46;,1333.49
,43.3470;,277.25;,10.76;,1333.6
,44.3260;,284.88;,10.90;,1333.38
,45.3070;,297.34;,11.08;,1333.23
,46.2860;,302.09;,10.94;,1333.36
,47.4840;,305.73;,10.79;,1333.33
,48.4640;,308.05;,10.41;,1333.35
,49.4440;,314.13;,10.11;,1332.98
,50.4240;,316.99;,9.98;,1333.22
,51.4050;,316.26;,9.86;,1333.17
,52.3850;,309.58;,9.76;,1333.06
,53.3670;,308.19;,9.79;,1332.89
,54.3470;,304.86;,10.01;,1332.71
,55.3260;,304.04;,10.32;,1333
,56.3060;,303.90;,10.73;,1332.98
,57.2870;,315.66;,11.45;,1332.68
,58.7020;,327.33;,12.15;,1332.72
,59.6820;,358.02;,13.35;,1332.78
,60.6610;,383.14;,13.87;,1332.54
,61.6440;,408.60;,14.31;,1332.5
,62.6240;,431.69;,14.23;,1332.32
,63.6020;,457.18;,14.61;,1332.1
,64.5840;,475.68;,15.08;,1331.89
,66.0000;,489.66;,15.62;,1332.13
,66.9790;,516.92;,16.48;,1332.28
,67.9580;,535.60;,16.38;,1332.52
,69.7030;,551.03;,16.24;,1332.54
,70.6820;,583.52;,16.03;,1332.42
,71.6620;,608.51;,15.87;,1332.27
,72.6440;,628.40;,15.68;,1332.6
,73.6240;,646.92;,15.47;,1332.54
,74.6030;,671.91;,15.06;,1332.52
,75.5820;,185.71;,3.49;,1332.82
,76.8900;,-518.45;,1.11;,1332.76
,77.8700;,-938.91;,3.15;,1332.92
,78.8500;,-1160.90;,4.70;,1332.83
,79.8320;,-1359.80;,4.70;,1332.88
