Column1,TIME;,WEAR;,FF;,TEMP
,1.4160;,12.01;,0.51;,1332.65
,2.3950;,14.78;,1.88;,1333.26
,3.3760;,11.43;,3.04;,1333.27
,4.3580;,10.31;,3.81;,1333.04
,5.3380;,9.79;,3.91;,1332.88
,6.3170;,8.02;,4.22;,1332.88
,7.2980;,13.36;,4.42;,1332.71
,8.2790;,-16.42;,4.67;,1332.61
,9.2590;,-35.51;,4.92;,1332.23
,10.2380;,-56.74;,5.23;,1332.17
,11.2190;,-72.20;,5.44;,1332.25
,12.6330;,-79.93;,5.26;,1332.09
,13.6140;,-61.00;,5.01;,1332.29
,14.5940;,-41.06;,5.02;,1332.17
,15.6850;,-12.33;,4.72;,1332.2
,16.6660;,-3.01;,4.88;,1332.11
,17.6460;,-0.35;,5.32;,1332.19
,18.6250;,3.89;,5.30;,1331.86
,19.9310;,11.02;,5.11;,1331.47
,20.9120;,-20.85;,5.48;,1331.64
,21.8920;,-31.73;,5.24;,1331.78
,22.8720;,-32.78;,5.27;,1331.89
,23.8540;,-32.62;,5.53;,1332.13
,24.8330;,-1.11;,6.19;,1332.35
,25.8150;,-2.28;,6.72;,1332.12
,27.4470;,-3.26;,6.93;,1331.99
,28.4270;,5.46;,7.57;,1332.12
,29.4070;,-7.17;,7.97;,1331.97
,30.6070;,3.32;,8.36;,1331.98
,31.5880;,-2.75;,8.69;,1331.81
,32.5650;,1.12;,9.06;,1331.57
,33.5470;,-1.11;,9.41;,1332.06
,34.5260;,1.98;,9.68;,1332.31
,35.5080;,1.18;,9.99;,1331.86
,36.4860;,8.44;,10.28;,1331.97
,37.4660;,10.29;,10.49;,1332.23
,38.6670;,12.09;,10.61;,1332.44
,39.6450;,16.82;,10.70;,1332.52
,40.6280;,18.60;,10.84;,1332.31
,42.3680;,22.92;,10.99;,1332.34
,43.3480;,29.53;,11.33;,1332.22
,44.3290;,32.27;,11.64;,1332.51
,45.9630;,40.15;,11.86;,1332.21
,46.9420;,51.82;,12.10;,1331.77
,47.9240;,58.80;,12.27;,1331.76
,49.0130;,65.41;,12.53;,1332.16
,49.9940;,69.61;,12.61;,1332.18
,50.9740;,80.37;,12.64;,1332.42
,51.9530;,89.13;,12.65;,1332.43
,53.3680;,98.30;,12.63;,1332.68
,54.3480;,109.67;,12.75;,1332.66
,55.3310;,115.36;,12.87;,1332.54
,56.4200;,121.09;,12.98;,1332.38
,57.4000;,125.92;,12.91;,1332.2
,58.3800;,134.49;,12.81;,1332.18
,59.3590;,137.60;,12.79;,1332.36
,60.5560;,143.78;,12.91;,1332.38
,61.5370;,149.40;,13.11;,1332.35
,62.5170;,152.87;,13.17;,1332.39
,63.4970;,158.42;,13.21;,1332.59
,64.4770;,162.27;,13.25;,1332.61
,65.4580;,171.48;,13.28;,1332.86
,66.4380;,180.18;,13.16;,1332.76
,67.5290;,185.10;,12.99;,1332.69
,68.5090;,189.70;,12.86;,1332.98
,69.4880;,198.98;,12.62;,1333.17
,70.4690;,204.51;,12.48;,1332.99
,71.5570;,205.70;,12.41;,1333
,72.5370;,209.89;,12.38;,1333.02
,73.5170;,212.23;,12.41;,1332.63
,74.4980;,214.74;,12.46;,1332.67
,75.5880;,216.32;,12.49;,1332.74
,76.5670;,218.49;,12.52;,1332.8
,77.5470;,218.93;,12.54;,1333.05
,78.7450;,219.41;,12.56;,1333.17
,79.7270;,219.42;,12.64;,1333.28
,80.7060;,220.49;,12.78;,1332.85
,81.6860;,221.41;,12.92;,1333.06
,82.7750;,221.01;,12.97;,1333.08
,83.7550;,222.17;,13.04;,1332.72
,84.7350;,222.80;,13.08;,1332.54
,86.3690;,223.90;,13.09;,1332.64
,87.3490;,225.46;,13.03;,1332.72
,88.3300;,225.35;,12.81;,1332.93
,89.3090;,223.47;,12.12;,1332.89
,90.3990;,222.48;,11.57;,1333.09
,91.3800;,222.50;,11.15;,1333.11
,92.3610;,223.32;,11.42;,1333.38
,93.6670;,225.99;,12.15;,1333.2
,94.6460;,229.70;,12.75;,1333.01
,95.6270;,236.50;,13.10;,1332.72
,96.6070;,242.51;,12.71;,1332.6
,97.6980;,260.41;,12.18;,1332.55
,98.6760;,292.43;,11.21;,1332.44
,99.6570;,302.11;,10.84;,1332.1
,100.8550;,294.75;,11.09;,1331.67
,101.8370;,275.81;,11.33;,1331.63
,102.8170;,288.80;,11.48;,1331.72
,103.7970;,297.31;,11.46;,1331.73
,104.8840;,301.57;,11.39;,1331.74
,105.8650;,302.22;,11.37;,1331.4
,106.8450;,300.47;,11.40;,1331.24
,107.8260;,298.76;,11.48;,1331.32
,108.8060;,296.76;,11.52;,1331.2
,109.7870;,303.17;,11.54;,1331.26
,110.7660;,308.70;,11.53;,1331.29
,111.7470;,312.59;,11.35;,1331.54
,112.7270;,318.01;,11.26;,1331.38
,113.7080;,311.22;,11.05;,1331.22
,114.6880;,306.22;,10.90;,1331.36
,115.6700;,306.08;,10.61;,1331.65
,116.6500;,295.04;,10.59;,1331.81
,117.6300;,295.66;,10.80;,1331.79
,118.6090;,295.99;,11.42;,1331.91
,120.0240;,291.77;,12.06;,1332.28
,121.0050;,289.25;,12.61;,1332.67
,121.9870;,288.03;,12.83;,1332.66
,123.5090;,287.41;,12.30;,1332.62
,124.4900;,280.94;,11.27;,1332.01
,125.4700;,275.96;,10.55;,1331.79
,126.4510;,271.42;,10.51;,1331.89
,127.5420;,268.75;,10.71;,1331.77
,128.5200;,262.42;,11.18;,1331.73
,129.5010;,259.02;,11.50;,1331.87
,130.4820;,258.66;,11.70;,1331.92
,131.4630;,258.19;,11.81;,1331.8
,132.4410;,259.75;,11.92;,1331.81
,133.4210;,260.49;,11.91;,1331.63
,134.7280;,259.67;,11.72;,1331.7
,135.7090;,257.62;,11.17;,1331.96
,136.6880;,255.63;,10.80;,1332.42
,137.6710;,254.67;,10.61;,1332.29
,138.6510;,254.59;,10.64;,1332.37
,139.6300;,274.22;,10.60;,1332.43
,140.6110;,243.89;,5.99;,1332.45
,142.3540;,188.41;,3.40;,1332.62
,143.3330;,126.09;,4.96;,1332.62
,144.3150;,80.38;,4.49;,1332.34
,145.7290;,18.68;,3.73;,1332.71
,146.7090;,-33.07;,3.84;,1332.61
,147.6890;,-57.42;,3.97;,1332.32
,148.6700;,-25.94;,4.63;,1332.6
,149.7600;,-11.24;,4.85;,1332.54
,150.7390;,13.63;,5.34;,1332.58
,151.7210;,-4.62;,5.22;,1333.06
,152.8100;,15.92;,4.87;,1333.34
,153.7910;,37.07;,4.62;,1333.38
,154.7710;,76.03;,6.22;,1332.89
,155.7500;,96.46;,8.58;,1332.44
,157.1650;,120.92;,9.70;,1332.29
,158.1450;,191.81;,10.70;,1331.98
,159.1260;,273.92;,11.06;,1331.53
,160.1060;,302.83;,11.32;,1331.78
,161.0870;,306.60;,11.38;,1331.82
,162.0670;,310.36;,11.39;,1331.83
,163.0460;,309.16;,11.15;,1331.63
,164.0290;,310.70;,10.79;,1331.66
,165.0090;,305.98;,10.45;,1331.41
,165.9900;,310.59;,9.84;,1331.59
,166.9680;,313.28;,9.61;,1332.18
,168.4950;,308.98;,9.44;,1331.98
,169.4730;,308.62;,9.09;,1332.13
,170.4560;,310.39;,8.90;,1332.05
,171.9780;,306.75;,9.13;,1332.11
,172.9590;,307.16;,9.96;,1332.44
,173.9390;,309.95;,10.30;,1332.32
,174.9190;,307.29;,10.12;,1331.94
,176.0100;,298.69;,9.72;,1331.67
,176.9890;,295.22;,9.32;,1331.44
,177.9700;,292.18;,9.49;,1331.2
,179.4940;,287.20;,9.74;,1331.35
,180.4740;,280.86;,10.01;,1331.3
,181.4540;,278.24;,10.12;,1331.24
,182.4360;,276.63;,10.19;,1331.33
,183.4170;,275.62;,10.26;,1331.83
,184.3950;,274.04;,10.47;,1332
,185.3770;,272.86;,10.73;,1332.16
,186.3570;,271.53;,10.84;,1332.08
,187.3380;,270.14;,10.93;,1332.13
,188.3160;,268.48;,10.97;,1331.8
,189.2970;,267.69;,11.07;,1331.53
,190.2760;,267.53;,11.18;,1331.74
,191.2580;,267.88;,11.45;,1332.13
,192.2370;,268.31;,11.62;,1332.24
,193.2160;,268.14;,11.46;,1332.08
,194.1970;,267.90;,11.27;,1332.06
,195.1770;,266.31;,10.45;,1331.82
,196.1580;,264.93;,9.88;,1331.67
