Column1,TIME;,WEAR;,FF;,TEMP
,0.9820;,3.11;,0.81;,1332.5
,2.2870;,10.06;,2.49;,1332.59
,3.2670;,19.86;,4.97;,1332.34
,4.2470;,29.07;,6.70;,1332.06
,5.2280;,37.91;,7.28;,1332.58
,6.3190;,43.52;,7.51;,1332.26
,7.2970;,56.24;,7.85;,1332.52
,8.2800;,61.75;,8.11;,1332.61
,9.8020;,64.56;,8.41;,1332.55
,10.7820;,67.47;,8.72;,1332.37
,11.7630;,70.57;,8.89;,1332.23
,12.7420;,75.46;,8.88;,1332.19
,13.8320;,77.19;,8.89;,1332.23
,14.8130;,84.16;,9.02;,1331.86
,15.7940;,88.83;,9.09;,1331.75
,17.1000;,94.07;,9.22;,1331.73
,18.0790;,102.59;,9.28;,1331.95
,19.0600;,108.95;,9.46;,1332.06
,20.0400;,112.59;,9.61;,1332.24
,21.1310;,114.63;,9.69;,1332.16
,22.1100;,121.47;,9.80;,1332.13
,23.0900;,127.31;,9.77;,1332.08
,24.2870;,130.36;,9.63;,1332.5
,25.2700;,132.98;,9.54;,1332.59
,26.2480;,135.81;,9.68;,1333.01
,27.2290;,139.57;,10.00;,1332.86
,28.2080;,139.04;,10.31;,1332.98
,29.1890;,145.77;,10.67;,1333.2
,30.1690;,152.67;,10.79;,1333.12
,31.1490;,160.95;,10.95;,1332.72
,32.1290;,165.88;,11.00;,1332.58
,33.1100;,182.13;,11.11;,1332.78
,34.0920;,197.31;,11.01;,1332.94
,35.1810;,215.65;,10.71;,1333.43
,36.1610;,226.84;,10.93;,1333.37
,37.1400;,249.63;,11.89;,1333.18
,38.1210;,270.34;,13.05;,1333.27
,39.4270;,290.85;,14.24;,1332.9
,40.4070;,318.44;,14.98;,1332.69
,41.3870;,345.13;,15.34;,1333.18
,42.3670;,376.54;,15.65;,1332.77
,43.3480;,390.87;,15.74;,1332.63
,44.3280;,424.36;,15.77;,1332.2
,45.3100;,450.61;,15.77;,1332.04
,46.9440;,475.22;,15.85;,1332.31
,47.9220;,512.19;,16.33;,1332.41
,48.9030;,532.70;,16.64;,1332.29
,50.3180;,551.62;,16.83;,1332.15
,51.2980;,580.43;,17.00;,1331.91
,52.2790;,601.70;,17.10;,1331.96
,53.2580;,622.37;,17.16;,1332.11
,54.2400;,640.42;,17.13;,1332.1
,55.2190;,674.07;,17.26;,1332.37
,56.1990;,701.65;,17.36;,1332.28
,57.1810;,724.62;,17.48;,1332.21
,58.1610;,735.67;,17.57;,1332.22
,59.1420;,760.62;,17.63;,1332.42
,60.1200;,784.02;,17.41;,1332.17
,61.5350;,788.70;,17.14;,1332.13
,62.5160;,798.83;,16.25;,1332.04
,63.4980;,801.77;,15.68;,1332.42
,64.4770;,813.17;,15.11;,1333.01
,65.4580;,821.55;,15.14;,1332.82
,66.4390;,838.27;,15.29;,1332.68
,67.4170;,850.30;,15.60;,1332.9
,68.7240;,872.14;,15.78;,1332.74
,69.7040;,903.09;,15.87;,1332.54
,70.6840;,935.73;,15.76;,1332.53
,71.6660;,964.58;,15.61;,1332.48
,72.6470;,980.26;,15.49;,1332.46
,73.6250;,1010.59;,15.56;,1332.5
,74.6070;,1030.91;,15.79;,1332.47
,75.9110;,1060.51;,15.42;,1332.31
,76.8920;,1089.00;,15.06;,1332.28
,77.8720;,1123.32;,14.88;,1332.42
,78.8530;,1157.24;,15.26;,1332.05
,79.8320;,1186.45;,16.05;,1332.18
,80.8130;,1237.56;,16.85;,1332.24
,81.7930;,1280.13;,17.13;,1332.59
,83.1000;,1307.18;,17.60;,1332.91
,84.0800;,1344.42;,18.39;,1332.7
,85.0600;,1366.22;,19.48;,1332.19
,86.0400;,1387.88;,20.21;,1332.36
,87.2400;,1398.40;,20.34;,1332.5
,88.2200;,1416.19;,20.00;,1332.63
,89.2000;,1427.54;,19.27;,1332.4
,90.1810;,1435.49;,18.71;,1332.24
,91.1590;,1442.64;,18.20;,1332.28
,92.1410;,1444.63;,18.11;,1332.34
,93.1190;,1449.17;,18.84;,1332.12
,94.1000;,1450.81;,19.41;,1332.16
,95.0790;,1440.28;,18.79;,1332.13
,96.0600;,1438.76;,18.36;,1332.32
,97.0400;,1439.17;,17.38;,1332.12
,98.0210;,1437.81;,17.39;,1332.33
,99.0000;,1440.95;,18.19;,1332.71
,99.9830;,1438.30;,18.56;,1332.71
,101.0720;,1446.77;,18.92;,1332.77
,102.0520;,1463.30;,18.72;,1333.1
,103.0320;,1465.25;,18.26;,1333.22
,104.0120;,1498.51;,18.25;,1333.49
,105.3170;,1530.52;,18.50;,1333.48
,106.2970;,1603.65;,18.88;,1333.18
,107.2780;,1631.12;,18.25;,1332.94
,108.3680;,1659.27;,17.17;,1332.94
,109.3490;,1675.48;,16.24;,1332.93
,110.3260;,1691.99;,14.86;,1332.74
,111.3090;,1673.46;,14.06;,1332.71
,112.3960;,1665.19;,13.72;,1332.69
,113.3760;,1653.83;,13.33;,1332.66
,114.3570;,1664.68;,13.18;,1332.61
,115.3370;,1675.31;,12.89;,1332.89
,116.3170;,1701.69;,12.84;,1332.83
,117.2970;,1753.78;,12.92;,1332.86
,118.2770;,1796.42;,13.05;,1332.67
,119.2590;,1827.85;,13.27;,1332.7
,120.2400;,1845.58;,13.62;,1332.82
,121.2180;,1865.19;,14.02;,1332.4
,122.1990;,1875.21;,14.11;,1332.35
,123.5040;,1870.37;,13.96;,1332.36
,124.4850;,1854.93;,14.02;,1331.98
,125.4650;,1841.13;,14.36;,1332.52
,126.5560;,1831.59;,14.94;,1332.01
,127.5360;,1829.00;,15.16;,1331.89
,128.5150;,1824.76;,15.78;,1331.95
,129.4960;,1821.80;,16.55;,1331.9
,130.4750;,1819.72;,16.85;,1331.88
,131.4550;,1829.28;,17.02;,1331.54
,132.4360;,1838.55;,16.55;,1332
,133.4150;,1842.59;,15.86;,1331.66
,134.3960;,1846.41;,15.24;,1331.55
,135.3760;,1860.42;,13.95;,1331.21
,136.3560;,1878.89;,12.95;,1331.21
,137.3360;,1898.35;,12.17;,1331.38
,138.3170;,1908.99;,11.92;,1331.76
,139.2980;,1935.40;,11.51;,1331.87
,140.2790;,1962.14;,11.25;,1331.64
,141.8030;,1984.26;,11.35;,1331.61
,142.7820;,2013.66;,11.70;,1331.88
,143.7640;,2032.37;,12.14;,1332.21
,145.3960;,2043.94;,12.55;,1332.23
,146.3750;,2049.79;,13.17;,1332.23
,147.3560;,2051.24;,13.65;,1332.34
,148.4470;,2049.30;,14.01;,1331.85
,149.4270;,2046.00;,14.22;,1331.81
,150.4060;,2041.01;,14.44;,1331.75
,151.3870;,2038.39;,14.52;,1331.68
,152.5830;,2041.16;,14.50;,1331.51
,153.5640;,2046.41;,14.42;,1331.2
,154.5430;,2053.84;,14.34;,1331.39
,155.5240;,2065.56;,15.04;,1331.12
,156.5060;,2074.35;,15.87;,1331.29
,157.4860;,2099.73;,17.73;,1331.68
,158.4660;,2116.75;,17.61;,1331.98
,159.4470;,2121.73;,15.90;,1332.03
,160.4250;,2123.32;,13.93;,1331.99
,161.4070;,2124.81;,11.29;,1332.02
,162.3850;,2123.14;,10.75;,1332.08
,163.5830;,2121.02;,10.76;,1331.98
,164.5630;,2116.09;,11.33;,1332.12
,165.5430;,2117.71;,12.16;,1331.94
,166.6340;,2124.74;,13.09;,1331.7
,167.6150;,2131.60;,14.17;,1331.78
,168.5950;,2135.70;,15.35;,1332.15
,169.5730;,2132.85;,15.64;,1332.12
,170.9900;,2123.13;,15.38;,1331.92
,171.9690;,2106.04;,14.59;,1331.7
,172.9490;,2095.79;,14.50;,1331.51
,173.9310;,2087.63;,14.54;,1331.84
,174.9110;,2083.76;,14.57;,1331.99
,175.8920;,2077.16;,14.59;,1332.12
,176.8690;,2079.50;,14.52;,1332.17
,178.1770;,2087.56;,14.29;,1332.27
,179.1570;,2100.89;,13.90;,1332.16
,180.1370;,2112.68;,13.55;,1332.15
,181.5530;,2125.07;,13.18;,1332.32
,182.5330;,2139.90;,12.87;,1332.28
,183.5130;,2153.37;,12.72;,1332.61
,184.4930;,2163.23;,12.72;,1332.93
,185.6920;,2169.40;,12.79;,1332.86
,186.6730;,2181.60;,13.11;,1332.53
,187.6540;,2185.80;,13.36;,1332.38
,189.1760;,2185.03;,13.72;,1332.38
,190.1570;,2177.56;,14.22;,1332.27
,191.1390;,2165.51;,14.55;,1332.51
,192.1170;,2150.51;,14.88;,1332.38
,193.0990;,2137.90;,15.06;,1332.11
,194.0790;,2120.91;,15.34;,1332.15
,195.0580;,2108.29;,15.50;,1332.13
,196.0370;,2102.10;,15.51;,1332.17
,197.0200;,2097.32;,15.43;,1332.11
,197.9980;,2096.99;,15.41;,1332.14
