Column1,TIME;,WEAR;,FF;,TEMP
,5.2150;,-1421.83;,3.56;,1332.35
,6.3060;,-591.69;,1.87;,1332.44
,7.2850;,-133.68;,2.75;,1332.65
,8.2650;,-100.73;,4.52;,1332.61
,9.7890;,-127.43;,6.07;,1332.58
,10.7700;,-172.02;,6.41;,1332.31
,11.7500;,-207.95;,6.61;,1332.42
,12.7310;,-232.82;,6.85;,1332.54
,13.7100;,-234.08;,6.98;,1332.62
,14.6910;,-234.70;,7.46;,1332.43
,15.6730;,-234.56;,7.85;,1332.48
,16.7620;,-234.50;,8.17;,1332.49
,17.7430;,-233.93;,8.41;,1332.43
,18.7230;,-232.20;,8.74;,1332.2
,19.7010;,-230.96;,8.80;,1332.18
,21.2280;,-229.35;,8.90;,1332.34
,22.2060;,-226.48;,9.01;,1332.55
,23.1880;,-224.26;,9.17;,1332.58
,24.2760;,-221.08;,9.26;,1332.7
,25.2550;,-218.42;,9.69;,1332.9
,26.2380;,-213.86;,10.34;,1332.89
,27.2160;,-208.03;,10.95;,1332.96
,28.5250;,-202.30;,11.26;,1332.96
,29.5030;,-193.71;,11.16;,1332.88
,30.4840;,-186.92;,11.21;,1332.92
,31.9000;,-181.03;,11.37;,1332.67
,32.8790;,-174.26;,11.60;,1332.45
,33.8600;,-166.71;,11.65;,1332.43
,34.8400;,-161.15;,11.60;,1332.78
,35.9310;,-157.86;,11.55;,1332.72
,36.9100;,-151.55;,11.50;,1332.72
,37.8900;,-147.97;,11.25;,1332.88
,38.8710;,-143.53;,11.16;,1333.01
,39.8520;,-137.00;,11.35;,1333.16
,40.8320;,-127.58;,11.90;,1333.05
,41.8110;,-119.73;,12.50;,1333.2
,42.9000;,-109.98;,13.07;,1333.02
,43.8800;,-98.34;,13.32;,1332.94
,44.8600;,-86.43;,13.08;,1332.45
,45.8400;,-76.35;,12.63;,1332.83
,46.9310;,-71.63;,12.33;,1332.96
,47.9100;,-62.64;,11.94;,1333.1
,48.8920;,-58.72;,11.96;,1333.09
,49.9810;,-56.10;,12.02;,1332.7
,50.9610;,-51.28;,12.13;,1332.74
,51.9400;,-39.06;,12.41;,1332.78
,52.9190;,-25.35;,12.71;,1332.9
,54.0090;,-16.16;,12.95;,1332.8
,54.9890;,3.65;,13.20;,1332.85
,55.9690;,25.25;,13.28;,1333
,56.9500;,50.18;,13.09;,1332.74
,57.9300;,63.35;,12.97;,1332.95
,58.9100;,86.86;,12.71;,1333.17
,59.8900;,100.90;,12.40;,1333.3
,60.8700;,116.76;,12.11;,1333.2
,61.8530;,125.29;,12.07;,1333.31
,62.8300;,138.18;,12.05;,1333.61
,63.8130;,146.24;,12.40;,1333.42
,64.7930;,150.92;,12.59;,1333.38
,65.7720;,154.41;,12.74;,1333.14
,66.7530;,162.15;,12.90;,1333.25
,67.7320;,167.27;,12.94;,1333.36
,69.0400;,170.81;,13.07;,1333.19
,70.0190;,178.75;,13.32;,1333.36
,71.0010;,183.79;,13.50;,1333.15
,72.1980;,191.67;,13.62;,1332.94
,73.1790;,197.00;,13.66;,1332.86
,74.1580;,201.97;,13.73;,1332.57
,75.1380;,205.49;,13.85;,1332.45
,76.1180;,207.27;,13.96;,1332.37
,77.0980;,210.73;,14.25;,1333.01
,78.0780;,213.41;,14.44;,1332.94
,79.0580;,215.81;,14.56;,1332.95
,80.0400;,215.97;,14.50;,1333.03
,81.0190;,215.89;,14.44;,1333
,81.9990;,218.94;,14.79;,1333.05
,82.9810;,221.44;,15.35;,1332.81
,83.9610;,227.02;,15.63;,1332.6
,84.9420;,237.76;,15.44;,1332.31
,85.9190;,250.18;,14.90;,1332.47
,87.2270;,262.82;,14.64;,1332.53
,88.2060;,290.50;,14.85;,1332.81
,89.1870;,310.95;,15.03;,1333.07
,90.1670;,328.91;,14.96;,1333.52
,91.1480;,339.08;,14.83;,1333.46
,92.1290;,355.83;,14.63;,1333.24
,93.1100;,367.33;,14.54;,1333.02
,94.6320;,374.36;,14.53;,1333
,95.6130;,385.76;,14.61;,1332.92
,96.5950;,391.80;,14.66;,1332.41
,97.6840;,399.31;,14.60;,1332.34
,98.6620;,408.08;,14.45;,1332.54
,99.6430;,418.27;,14.33;,1332.66
,100.6240;,427.89;,14.42;,1332.67
,101.8210;,436.19;,14.54;,1332.54
,102.8010;,447.38;,14.72;,1332.63
,103.7810;,457.56;,14.76;,1332.4
,104.7630;,468.24;,14.76;,1332.26
,105.7430;,472.67;,14.77;,1332.29
,106.7220;,481.45;,14.81;,1332.08
