Column1,TIME;,WEAR;,FF;,TEMP
,1.5240;,-20.82;,0.43;,1333.65
,2.5040;,-90.72;,1.40;,1333.8
,3.4840;,-144.36;,2.48;,1333.34
,4.4640;,-184.46;,3.29;,1333.44
,5.4450;,-228.31;,3.65;,1333.42
,6.4250;,-279.87;,4.31;,1333.39
,7.4050;,-297.84;,4.57;,1333.61
,8.3870;,-339.94;,4.31;,1333.39
,9.3670;,-335.12;,4.32;,1333.61
,10.3480;,-360.09;,3.70;,1333.57
,11.3260;,-350.38;,3.66;,1333.33
,12.7420;,-359.87;,3.64;,1333.22
,13.7220;,-369.36;,3.71;,1332.95
,14.7040;,-355.57;,4.00;,1332.52
,15.6830;,-319.47;,3.99;,1332.45
,16.6670;,-326.26;,3.99;,1332.62
,17.6450;,-280.82;,4.23;,1333.2
,18.6250;,-356.10;,3.97;,1333.3
,19.7130;,-351.64;,4.06;,1333.13
,20.6950;,-351.31;,4.05;,1333.13
,21.6750;,-360.23;,4.05;,1333.33
,22.6550;,-346.42;,4.03;,1333.45
,23.9610;,-333.82;,4.06;,1333.54
,24.9410;,-349.37;,4.04;,1333.49
,25.9210;,-282.83;,4.23;,1333.65
,27.6630;,-348.74;,4.16;,1333.66
,28.6440;,-360.50;,4.11;,1333.76
,29.6240;,-348.35;,4.26;,1333.99
,30.6050;,-350.58;,4.12;,1333.82
,31.5850;,-356.45;,4.06;,1333.99
,32.5660;,-343.70;,4.17;,1333.96
,33.5470;,-358.65;,3.85;,1333.83
,35.0710;,-311.12;,4.10;,1333.71
,36.0510;,-286.58;,4.27;,1333.38
,37.0300;,-348.01;,3.85;,1333.12
,38.0110;,-346.51;,3.86;,1333.23
,38.9930;,-345.35;,3.86;,1333.17
,39.9720;,-354.29;,3.83;,1333.43
,40.9520;,-340.97;,4.06;,1333.08
,42.6960;,-353.01;,3.76;,1333.1
,43.6750;,-357.74;,3.64;,1333.47
,44.6550;,-320.46;,3.89;,1333.47
,45.7460;,-324.45;,3.67;,1333.53
,46.7250;,-348.71;,3.64;,1333.46
,47.7040;,-335.61;,3.73;,1332.95
,48.6870;,-354.02;,3.68;,1332.85
,50.1010;,-344.48;,3.73;,1332.98
,51.0810;,-337.33;,4.01;,1333.23
,52.0620;,-354.89;,3.80;,1333.43
,53.8040;,-322.90;,4.05;,1333.38
,54.7840;,-324.11;,4.16;,1333.18
,55.7650;,-336.58;,4.25;,1332.93
,57.3990;,-346.09;,4.21;,1333.1
,58.3790;,-353.25;,3.96;,1333.27
,59.3600;,-335.63;,3.88;,1333.08
,60.3390;,-353.49;,3.82;,1333.29
,61.3210;,-323.28;,3.93;,1333.36
,62.3000;,-304.07;,3.98;,1333.18
,63.2820;,-338.84;,3.93;,1333.66
,64.3710;,-297.89;,4.10;,1333.4
,65.3520;,-328.40;,3.86;,1333.22
,66.3300;,-339.54;,3.74;,1333.03
,67.3120;,-342.52;,3.73;,1333.03
,68.6170;,-342.35;,3.76;,1333.15
,69.5980;,-339.32;,3.69;,1333.07
,70.5770;,-308.31;,3.53;,1332.84
,71.5580;,-339.27;,3.43;,1333.11
,72.5400;,-303.55;,3.38;,1333.24
,73.5190;,-350.25;,3.20;,1333.2
,74.4990;,-302.92;,3.12;,1332.87
,75.4810;,-345.93;,3.00;,1332.99
,76.4610;,-349.80;,2.98;,1333.11
,77.4420;,-343.75;,2.97;,1333.28
,78.4220;,-356.94;,2.94;,1333.25
,79.9460;,-349.82;,2.93;,1333.26
,80.9250;,-295.78;,2.93;,1333.47
,81.9050;,-352.56;,2.92;,1333.66
