Column1,TIME;,WEAR;,FF;,TEMP
,145.0720;,-236.56;,3.04;,1332.52
,146.0520;,-236.88;,3.07;,1332.55
,147.4690;,-236.91;,3.07;,1332.52
,148.4480;,-239.49;,3.13;,1332.4
,149.4300;,-239.19;,3.20;,1332.74
,150.4080;,-236.02;,3.22;,1333.04
,151.3900;,-241.00;,3.20;,1332.88
,152.3680;,-235.03;,3.25;,1333.32
,153.3510;,-240.28;,3.21;,1333.77
,154.3290;,-239.34;,3.27;,1333.87
,155.3110;,-237.05;,3.30;,1333.85
,156.2890;,-242.94;,3.26;,1333.86
,157.2700;,-237.84;,3.30;,1333.55
,158.4670;,-239.61;,3.27;,1333.62
,159.4480;,-241.63;,3.24;,1333.53
,160.4280;,-238.32;,3.24;,1333.33
,161.5190;,-242.57;,3.21;,1333.29
,162.4990;,-238.17;,3.28;,1333.28
,163.4800;,-238.20;,3.27;,1333.16
,164.4580;,-238.76;,3.30;,1333.13
,165.8730;,-238.00;,3.30;,1332.93
,166.8540;,-238.86;,3.30;,1332.55
,168.0280;,-239.87;,3.37;,1332.95
,169.6860;,-237.71;,3.34;,1332.62
,170.6660;,-234.02;,3.19;,1332.9
,171.6460;,-239.52;,2.99;,1333.29
,172.9530;,-235.74;,3.00;,1333.06
,173.9340;,-228.42;,3.98;,1332.96
,174.9130;,-227.74;,5.58;,1333.25
,175.8940;,-215.67;,7.56;,1333.23
,176.8740;,-213.63;,8.19;,1333.13
,177.8540;,-206.84;,9.26;,1332.83
,178.8340;,-197.55;,3.83;,1332.79
,179.9230;,-203.43;,3.04;,1332.35
,180.9060;,-204.03;,3.43;,1332.61
,181.8840;,-210.31;,3.83;,1333.13
,182.8640;,-217.92;,3.38;,1333.12
,184.1710;,-221.83;,3.26;,1333
,185.1520;,-232.67;,3.24;,1332.85
,186.1320;,-235.30;,3.30;,1332.92
,187.1120;,-232.00;,3.35;,1332.96
,188.0940;,-233.60;,3.35;,1333.12
,189.0730;,-230.78;,3.42;,1333.46
,190.0530;,-234.98;,3.41;,1333.6
,191.0340;,-232.14;,3.47;,1333.69
,192.0150;,-230.79;,3.48;,1333.71
,192.9950;,-234.25;,3.43;,1333.42
,193.9740;,-229.41;,3.48;,1333.68
,195.0630;,-234.95;,3.43;,1333.47
,196.0430;,-233.33;,3.46;,1333.12
,197.0230;,-232.68;,3.41;,1333.38
,198.0030;,-236.57;,3.39;,1333.38
