Column1,TIME;,WEAR;,FF;,TEMP
,0.9800;,-10.51;,0.66;,1333.61
,2.0710;,-13.54;,0.64;,1333.73
,3.0500;,-18.78;,2.26;,1333.94
,4.0300;,-26.50;,1.38;,1333.67
,5.1210;,-29.94;,1.28;,1333.8
,6.1020;,-36.70;,-0.55;,1333.93
,7.0800;,-40.24;,2.51;,1333.86
,8.0610;,-31.07;,0.02;,1333.45
,9.3670;,-26.16;,-5.20;,1333.42
,10.3480;,-18.22;,-1.08;,1333.29
,11.3270;,-8.71;,6.34;,1333.24
,12.3080;,-15.58;,3.34;,1333.21
,13.2880;,-12.71;,-3.47;,1333.27
,14.2690;,-12.56;,-4.41;,1333.32
,15.2490;,-17.24;,0.45;,1333.67
,17.1010;,-22.95;,0.68;,1333.73
,18.0820;,-29.50;,2.05;,1333.69
,19.0620;,-23.76;,1.39;,1333.71
,20.8060;,-19.63;,0.20;,1333.91
,21.7840;,-16.13;,-0.26;,1334.02
,22.7660;,-12.69;,0.97;,1334.02
,23.7460;,-12.00;,0.60;,1333.58
,24.7270;,-10.23;,0.67;,1333.65
,25.7070;,-8.72;,1.38;,1334.16
,26.6850;,-6.86;,2.52;,1334.19
,27.9920;,-6.85;,2.53;,1334.28
,28.9730;,-7.00;,1.20;,1334.09
,29.9530;,-6.15;,2.67;,1334.32
,30.9340;,-6.17;,2.96;,1334.59
,32.0220;,-6.05;,0.75;,1334.91
,33.0030;,-5.73;,0.39;,1334.86
,33.9820;,-6.05;,1.17;,1334.76
,35.0720;,-5.68;,1.24;,1334.42
,36.0530;,-4.72;,1.58;,1334
,37.0320;,-4.90;,1.79;,1333.68
,38.0150;,-4.55;,1.73;,1333.95
,39.1020;,-3.91;,1.75;,1334.09
,40.0820;,-3.93;,1.53;,1334.19
,41.0620;,-3.11;,1.33;,1334.3
,42.0430;,-3.07;,1.55;,1334.26
,43.1320;,-2.85;,1.44;,1334.25
,44.1120;,-2.17;,1.97;,1334.21
,45.0950;,1.03;,1.62;,1334.26
,46.8350;,30.97;,2.06;,1334.22
,47.8150;,48.42;,1.57;,1334.15
,48.7960;,40.12;,1.69;,1333.72
,50.5390;,39.80;,1.43;,1333.95
,51.5190;,37.29;,1.50;,1333.67
,52.4990;,47.50;,1.78;,1333.53
,53.4790;,44.84;,1.71;,1333.36
,54.5690;,44.74;,1.64;,1333.32
,55.5490;,51.47;,1.64;,1333.2
,56.5290;,43.46;,0.89;,1332.84
,57.5120;,49.55;,-0.41;,1332.71
,58.4920;,46.45;,-0.62;,1333.21
,59.4710;,37.55;,0.46;,1333.32
,60.4530;,46.20;,1.05;,1333.34
,61.7580;,42.02;,0.82;,1333.48
,62.7380;,44.07;,0.76;,1333
,63.7190;,48.89;,0.62;,1332.51
,64.6990;,40.36;,0.49;,1332.79
,65.6800;,40.95;,0.55;,1332.86
,66.6600;,37.75;,0.83;,1333.24
,67.6400;,38.66;,0.56;,1333.42
,68.6200;,47.30;,0.70;,1333.5
,69.7120;,44.72;,0.62;,1333.56
,70.6900;,48.67;,0.55;,1333.87
,71.6720;,38.95;,0.51;,1333.84
,73.4150;,46.77;,0.66;,1333.72
,74.3940;,45.64;,0.92;,1333.78
,75.3760;,46.86;,1.40;,1333.8
,76.3540;,35.62;,1.05;,1333.78
,77.3360;,38.51;,1.23;,1333.93
,78.3160;,42.64;,0.99;,1334.09
,79.2970;,40.37;,1.18;,1333.97
,81.0400;,42.22;,1.21;,1334.08
,82.0190;,50.10;,0.78;,1333.84
,83.0000;,40.54;,0.64;,1333.59
,83.9780;,44.82;,0.77;,1333.53
,84.9610;,44.02;,0.84;,1333.5
,85.9410;,40.00;,0.73;,1333.54
,86.9220;,47.96;,1.21;,1333.57
,88.2270;,38.51;,0.74;,1333.85
,89.2070;,44.94;,0.65;,1334.11
,90.1870;,45.89;,0.56;,1333.99
,91.1680;,41.12;,0.65;,1333.62
,92.2570;,41.89;,0.69;,1333.5
,93.2370;,37.17;,0.68;,1333.62
,94.2180;,39.03;,0.61;,1333.58
,95.1980;,47.32;,1.02;,1333.48
,96.1810;,42.27;,0.83;,1333.68
,97.1590;,46.46;,1.27;,1333.75
,98.1390;,39.75;,0.87;,1333.72
,99.1210;,46.58;,0.96;,1333.72
,100.1020;,45.84;,0.72;,1333.77
,101.0820;,42.40;,0.88;,1333.76
,102.0600;,48.30;,1.00;,1333.73
,103.1490;,38.94;,0.97;,1333.91
,104.1320;,38.46;,1.10;,1333.69
,105.1120;,48.54;,1.12;,1333.59
,106.0910;,37.12;,0.99;,1333.73
,107.5090;,40.65;,0.87;,1333.85
,108.4870;,48.74;,0.66;,1333.94
,109.4680;,41.31;,0.67;,1334.12
,111.3190;,44.90;,0.71;,1333.95
,112.3000;,41.67;,0.75;,1334.07
,113.2800;,43.12;,0.92;,1334.28
,114.9140;,42.43;,0.78;,1334.16
,115.8940;,43.62;,0.71;,1334.22
,116.8740;,48.04;,0.61;,1333.95
,117.8540;,39.91;,0.61;,1333.7
,118.8370;,44.29;,0.60;,1333.79
,119.8150;,43.17;,0.77;,1333.81
,120.7980;,39.46;,0.61;,1333.87
,121.8870;,42.43;,1.19;,1333.35
,122.8670;,40.99;,0.78;,1333.21
,123.8460;,46.25;,0.63;,1333.33
,124.8260;,40.26;,0.28;,1333.42
,126.3520;,47.23;,0.29;,1333.16
,127.3310;,47.27;,0.16;,1332.88
,128.3110;,46.52;,0.39;,1332.95
,129.4000;,37.54;,0.31;,1333
,130.3830;,40.36;,0.53;,1332.92
,131.3610;,36.03;,0.93;,1333.05
,132.3440;,42.41;,0.91;,1333.19
,133.7580;,40.46;,0.91;,1333.19
,134.7380;,39.85;,0.78;,1333.25
,135.7190;,45.11;,0.74;,1333.26
,136.6990;,47.12;,0.46;,1333.27
,137.7900;,46.86;,0.51;,1333.23
,138.7690;,47.13;,0.54;,1333.34
,139.7490;,39.40;,1.04;,1333.62
,140.7290;,39.89;,0.80;,1333.61
,141.7110;,44.62;,0.75;,1333.37
,142.6910;,36.96;,0.53;,1333.41
,143.6720;,46.26;,0.52;,1333.48
,145.1940;,45.18;,0.43;,1333.38
,146.1750;,39.48;,0.46;,1333.3
,147.1570;,44.24;,0.34;,1333.63
,148.1360;,40.88;,0.28;,1334.17
,149.1180;,41.13;,0.29;,1334.37
,150.0970;,47.80;,0.53;,1334.57
,151.0770;,38.07;,0.41;,1334.67
,152.0580;,46.21;,0.49;,1334.17
,153.0390;,46.40;,0.42;,1334.08
,154.0190;,45.78;,0.39;,1334
,155.0000;,47.19;,0.48;,1333.8
,155.9800;,42.72;,0.37;,1333.47
,156.9590;,46.56;,0.49;,1333.62
,157.9380;,36.70;,0.94;,1333.67
,158.9190;,41.31;,0.62;,1333.76
,160.4440;,40.74;,0.41;,1333.88
,161.4250;,39.13;,0.46;,1333.91
,162.4070;,43.82;,0.25;,1334.07
,163.4960;,49.17;,0.41;,1333.9
,164.4770;,43.17;,0.26;,1333.83
,165.4570;,45.22;,0.38;,1334.02
,166.4350;,40.32;,0.35;,1333.94
,167.9620;,39.36;,0.44;,1334.32
,168.9400;,43.22;,0.44;,1334.67
,169.9230;,43.15;,0.32;,1334.94
,171.0120;,41.36;,0.30;,1335.03
,171.9920;,45.52;,0.37;,1334.86
,172.9730;,43.02;,0.36;,1335.06
,173.9530;,46.47;,0.40;,1334.89
,174.9320;,44.75;,0.56;,1334.7
,175.9120;,37.51;,0.39;,1334.57
,176.8930;,43.44;,0.81;,1334.2
,177.8740;,40.16;,0.77;,1334.14
,178.9620;,42.85;,0.94;,1333.9
,179.9420;,45.14;,0.79;,1333.71
,180.9220;,41.33;,0.50;,1333.78
,181.9020;,50.04;,0.38;,1333.85
,182.9920;,44.04;,0.41;,1333.88
,183.9720;,45.63;,0.47;,1333.93
,184.9520;,45.42;,0.74;,1333.96
,185.9330;,38.51;,0.51;,1333.67
,187.0220;,39.85;,0.66;,1333.63
,188.0040;,39.89;,0.91;,1333.45
,188.9840;,41.87;,0.80;,1333.08
,189.9650;,44.36;,0.79;,1333.11
,190.9450;,39.05;,0.53;,1333.1
,191.9240;,48.96;,0.48;,1333.08
,192.9060;,42.05;,0.56;,1333.34
,194.2110;,44.66;,0.52;,1333.46
,195.1910;,44.50;,0.78;,1333.57
,196.1720;,37.93;,0.49;,1333.82
,197.1520;,45.50;,0.47;,1333.99
,198.2430;,42.20;,0.31;,1334.11
